Name,Definition,Category
Website,"A collection of connected web pages under one name. Think of it as a book, and each page is a chapter.",Web Basics
Webpage,A single page of a website. Like one page in a magazine.,Web Basics
Browser,The app that opens websites (like Chrome or Safari). It's your TV screen for the internet.,Web Basics
Frontend,The visible part users interact with. Like a shop's display window.,Architecture
Backend,The invisible part that handles data and logic. Like the storeroom where the real work happens.,Architecture
Full Stack,Both frontend and backend working together. Like someone who can cook and serve the meal.,Architecture
Client,The device or app asking for info. Like a customer placing an order.,Architecture
Server,The computer sending that info back. Like a restaurant kitchen fulfilling the order.,Architecture
URL,The exact web address. Like a house address on a map.,Networking
Domain,The main name of a website (e.g. example.com). Like a store name on a street.,Networking
Hosting,The space where your site files live. Like renting a shop for your business.,Networking
IP Address,A unique number for every computer online. Like a phone number for your device.,Networking
DNS,Connects domain names to IPs. Like the contacts list that turns a name into a number.,Networking
HTTP / HTTPS,The language browsers and servers use to talk; HTTPS is secure. Like talking vs. whispering in a locked room.,Security & Performance
SSL Certificate,Proves a site is safe (the padlock icon). Like a security badge at a building entrance.,Security & Performance
Bandwidth,How much data can move between you and the site. Like the width of a water pipe.,Security & Performance
Latency,The time it takes for data to travel. Like a delivery delay for a package.,Security & Performance
Cache,Temporary storage that loads things faster. Like a shortcut drawer for things you use often.,Security & Performance
Cookie,Small data that remembers preferences. Like a sticky note for your login info.,Security & Performance
Session,The period you're actively on a site. Like your time inside a café before leaving.,Security & Performance
